Table 1 
All Milky Way Dwarf Galaxies and Candidates that Are Considered in This Paper, along with Relevant Positional, Structural, Radial Velocity, and Metallicity Parameters


Galaxy	R.A. (deg)	Decl. (deg)	${(m-M)}_{0}$	r_h (arcmin)	$e=1-b/a$	thetadeg	v_h (km s^-1)	sigma_v (km s^-1)	$\langle [\mathrm{Fe}/{\rm{H}}]\rangle $	
Horologium1	43.8821	-54.1189	${19.5}_{-0.2}^{+0.2}$	${1.54}_{-0.34}^{+0.34}$	${0.31}_{-0.16}^{+0.16}$	${50.0}_{-26.0}^{+26.0}$	${112.8}_{-2.6}^{+2.5}$	${4.9}_{-0.9}^{+2.8}$	$-{2.76}_{-0.1}^{+0.1}$	
Horologium2	49.1338	-50.0181	${19.46}_{-0.2}^{+0.2}$	${2.83}_{-1.31}^{+1.31}$	${0.86}_{-0.19}^{+0.19}$	${130.0}_{-16.0}^{+16.0}$	${168.7}_{-12.6}^{+12.9}$	cdots	-2.1	
Hydra2	185.4254	-31.9853	${20.64}_{-0.16}^{+0.16}$	${1.5}_{-0.32}^{+0.32}$	${0.17}_{-0.13}^{+0.13}$	${29.0}_{-25.0}^{+25.0}$	${303.1}_{-1.4}^{+1.4}$	cdots	$-{2.02}_{-0.08}^{+0.08}$	
Hydrus1	37.3892	-79.3089	${17.2}_{-0.04}^{+0.04}$	${7.42}_{-0.54}^{+0.62}$	${0.21}_{-0.07}^{+0.15}$	${97.0}_{-14.0}^{+14.0}$	${80.4}_{-0.6}^{+0.6}$	${2.69}_{-0.43}^{+0.51}$	$-{2.52}_{-0.09}^{+0.09}$	
Indus1	317.2046	-51.1656	${20.0}_{-0.2}^{+0.2}$	${0.87}_{-0.45}^{+0.45}$	${0.72}_{-0.29}^{+0.29}$	${5.0}_{-20.0}^{+20.0}$	cdots	cdots	cdots	
Indus2	309.72	-46.16	${21.65}_{-0.16}^{+0.16}$	${2.9}_{-1.0}^{+1.1}$	cdots	cdots	cdots	cdots	cdots	
Leo1	152.1171	12.3064	${22.02}_{-0.13}^{+0.13}$	${3.3}_{-0.03}^{+0.03}$	${0.3}_{-0.01}^{+0.01}$	${78.0}_{-1.0}^{+1.0}$	${282.5}_{-0.1}^{+0.1}$	${9.2}_{-1.4}^{+1.4}$	$-{1.43}_{-0.01}^{+0.01}$	
Leo2	168.37	22.1517	${21.84}_{-0.13}^{+0.13}$	${2.48}_{-0.03}^{+0.03}$	${0.07}_{-0.02}^{+0.02}$	${43.0}_{-8.0}^{+8.0}$	${78.0}_{-0.1}^{+0.1}$	${6.6}_{-0.7}^{+0.7}$	$-{1.62}_{-0.01}^{+0.01}$	
Leo4	173.2375	-0.5333	${20.94}_{-0.09}^{+0.09}$	${2.61}_{-0.31}^{+0.31}$	${0.19}_{-0.09}^{+0.09}$	$-{29.0}_{-27.0}^{+27.0}$	${132.3}_{-1.4}^{+1.4}$	${3.3}_{-1.7}^{+1.7}$	$-{2.54}_{-0.07}^{+0.07}$	
Leo5	172.79	2.22	${21.46}_{-0.16}^{+0.16}$	${1.0}_{-0.22}^{+0.22}$	${0.35}_{-0.07}^{+0.07}$	$-{65.0}_{-21.0}^{+21.0}$	${173.3}_{-3.1}^{+3.1}$	${3.7}_{-1.4}^{+2.3}$	$-{2.0}_{-0.2}^{+0.2}$	
LeoT	143.7225	17.0514	${23.1}_{-0.1}^{+0.1}$	${1.25}_{-0.14}^{+0.14}$	${0.23}_{-0.09}^{+0.09}$	$-{107.0}_{-16.0}^{+16.0}$	${38.1}_{-2.0}^{+2.0}$	${7.5}_{-1.6}^{+1.6}$	$-{2.02}_{-0.05}^{+0.05}$	
Pegasus3	336.0942	5.42	${21.56}_{-0.2}^{+0.2}$	${1.3}_{-0.4}^{+0.5}$	${0.46}_{-0.26}^{+0.18}$	${133.0}_{-17.0}^{+17.0}$	$-{222.9}_{-2.6}^{+2.6}$	${5.4}_{-2.5}^{+3.0}$	-2.1	
Phoenix	27.7762	-44.4447	${23.06}_{-0.12}^{+0.12}$	${2.3}_{-0.07}^{+0.07}$	${0.3}_{-0.03}^{+0.03}$	${8.0}_{-4.0}^{+4.0}$	$-{21.2}_{-1.0}^{+1.0}$	${9.3}_{-0.7}^{+0.7}$	$-{1.49}_{-0.04}^{+0.04}$	
